,ID,Name,Price,Proccessor,Size,CPU Frequency,Volume
301,f6889289,Ноутбук MSI GT62VR 7RE-426RU,999 490,Not Found,"15.6""",2800 MHz,257
302,f6887971,Игровой ноутбук MSI GP72 6QF Leopard Pro 6QF-274RU,545 960,Core i5,"17.3""",2300 MHz,1000
303,f6888128,Ноутбук HP 15-ay500ur Y5K68EA,250 030,Pentium,"15.6""",1600 MHz,500
304,f6888203,Ноутбук Lenovo B71-80 80RJ00EVRK,386 880,Core i5,"17.3""",2300 MHz,1000
305,f6912191,Трансформер Lenovo IdeaPad C340-14IWL 81N400HYRK,218 580,Core i3,"14""",2100 MHz,128
306,f6962949,Ноутбук Lenovo Yoga S740-15 81NX0015RK,740 526,Core i9,"15.6""",2300 MHz,1000
307,f7053975,Ноутбук HP 255 G7 15A04EA,164 780,AMD Ryzen 3,"15.6""",2600 MHz,256
308,f7139327,Ноутбук Lenovo ThinkPad E14-IML 20RA000XRT,335 890,Core i3,"14""",2100 MHz,256
309,f6928053,Ультрабук Lenovo THINKPAD X1 Carbon (8th Gen) 20U9004RRT,806 190,Core i5,"14""",1600 MHz,512
310,f7141243,Ноутбук DELL Latitude 9410 210-AURT-A,1 188 390,Core i7,"14""",1800 MHz,512
311,f5781482,Lenovo ThinkPad T480s 20L7001PRT,482 603,Not Found,Not Found,Not Found,Not Found
312,f7150766,Ноутбук Lenovo Ноутбук Lenovo,223 465,Not Found,Not Found,1200 MHz,Not Found
313,f7150737,Ноутбук Lenovo ThinkBook 14-IIL 20SL00FARU,273 488,Core i5,"14""",1100 MHz,256
314,f6996567,Ноутбук Microsoft Surface Book 3 15 Platinum,1 613 500,Core i7,"15""",1300 MHz,1000
315,f7140496,Ультрабук Lenovo THINKPAD X1 Carbon Ultrabook (7th Gen) 20QD0034RT,750 493,Core i7,"14""",1800 MHz,256
316,f6871179,Ноутбук HP ProBook 450 G7 8VU86EA,314 286,Core i3,"15.6""",2100 MHz,128
317,f7043286,Ультрабук Lenovo THINKPAD X1 Carbon (8th Gen) 20U9004PRT,842 793,Core i7,"14""",1800 MHz,1000
318,f6645851,Игровой ноутбук Dream Machines G1650-15KZ02,335 292,Core i5,"15.6""",2400 MHz,Not Found
319,f6950158,"Durabook S14I Standard, E+S14AKT1921788",1 397 112,Not Found,Not Found,Not Found,Not Found
320,f6987585,DELL Dell XPS 17 9700 9700-7281,1 431 432,Not Found,Not Found,Not Found,Not Found
321,f7113456,MSI GL65 Leopard 10SCSR-081XRU 9S7-16U822-081,661 225,Not Found,Not Found,Not Found,Not Found
322,f7148691,Ноутбук ASUS VivoBook S512JP,429 900,Not Found,Not Found,1600 MHz,Not Found
323,f6869893,Игровой ноутбук Acer Predator Helios 300 (PH315-52) NH.Q53ER.01G,519 900,Core i5,"15.6""",2400 MHz,512
324,f7147613,Kensington Замок для ноутбука типа Ke sington L-leg,9 173,Not Found,Not Found,Not Found,Not Found
325,f7145985,Ноутбук Lenovo Yoga S740-15IRH,839 999,Not Found,Not Found,Not Found,Not Found
326,f7145959,Ноутбук Lenovo ThinkPad T14,667 932,Not Found,Not Found,Not Found,Not Found
327,f7145922,Ноутбук Lenovo ThinkBook S-13-IML 20RR0001RU,407 287,Core i5,"13.3""",1600 MHz,256
328,f7088677,Ноутбук Apple MacBook Pro 13 with Touch Bar Mid 2020 Space Gray MXK32 Space Gray,567 995,Core i5,"13.3""",1400 MHz,256
329,f6871336,Ультрабук Apple MacBook Air 13 Mid 2020 Gold MWTL2 Gold,446 995,Core i3,"13.3""",1100 MHz,256
330,f7141972,"Ноутбук Acer A515-55G 15,6"" FHD Intel Core i3-1005G1/8Gb/SSD",254 000,Not Found,"15.6""",55000 MHz,Not Found
331,f7140213,Игровой ноутбук Dream Machines G1650-15KZ41,315 470,Core i5,"15.6""",2400 MHz,500
332,f6652057,Ноутбук HP 250 G7 6MT09EA,195 456,Core i3,"15.6""",2300 MHz,1000
333,f6654170,Ноутбук HP Pavilion 15-cs2007ur 6PS02EA,365 602,Core i5,"15.6""",1600 MHz,256
334,f6783549,Ноутбук Apple MacBook Pro 16 2019 Space Gray MVVK2 Space Gray,1 115 000,Core i7,"16""",2300 MHz,1000
335,f7109390,Ноутбук Lenovo Ideapad L340-15API,195 023,Not Found,Not Found,Not Found,Not Found
336,f6877747,Ультрабук Apple MacBook Air 13 Mid 2020 Space Gray MVH22 Space Gray,584 800,Core i5,"13.3""",1100 MHz,512
337,f6895204,Ноутбук Apple MacBook Pro 13 with Touch Bar Mid 2020 Silver MXK62 Silver,602 000,Core i5,"13.3""",1400 MHz,256
338,f6907956,Игровой ноутбук Lenovo Legion Y740 81UH007XRU,951 190,Core i7,"15.6""",2600 MHz,1256
339,f7095602,Игровой ноутбук HP Omen 17-cb1009ur 15D42EA,695 000,Core i7,"17.3""",2600 MHz,512
340,f7095628,Ноутбук DELL Vostro 3590 3590-7605,310 400,Core i5,"15.6""",1600 MHz,256
341,f6814690,Ноутбук HP ProBook 4710s,151 435,Core 2 Duo,"17.3""",2000 MHz,320
342,f7095612,Ноутбук Lenovo THINKPAD T15 G1 20S6000MRT,505 251,Core i5,"15.6""",1600 MHz,256
343,f6783019,Ноутбук Compaq Essential 610 NX550EA,85 000,Core 2 Duo,"15.6""",2000 MHz,320
344,f7095622,Ноутбук Lenovo IdeaPad 5 15ARE05 81W40035RK,314 800,AMD Ryzen 5,"15.6""",2300 MHz,512
345,f7098658,Трансформер DELL XPS 13 7390 210-AUQY-A,989 500,Core i7,"13.4""",1300 MHz,1000
346,f7098667,Ноутбук DELL LATITUDE E5530 210-AREL,401 500,Core i5,"13.3""",1600 MHz,256
347,f6959628,Ноутбук HP EliteBook 850 G6 6XD79EA,471 543,Core i7,"15.6""",1800 MHz,256
348,f7139257,Ноутбук DELL Vostro 5401 210-AVNJ,150 000,Core i5,"14""",1000 MHz,256
349,f7128944,Ноутбук DELL XPS 15 9570 9570-6733,929 799,Core i7,"15.6""",2200 MHz,512
350,f7138648,Мобильная рабочая станция HP Zbook 15 G2,375 000,Core i7,"15.6""",2800 MHz,500
351,f7106717,Ноутбук DELL LATITUDE E6420,109 000,Core i5,"14""",2500 MHz,320
352,f7126993,Ноутбук DELL LATITUDE E5450,190 000,Core i5,"14""",2300 MHz,256
353,f7127080,Ноутбук Fujitsu LIFEBOOK S761,86 000,Core i5,"13.3""",2500 MHz,500
354,f7127016,Ноутбук Fujitsu LIFEBOOK E780,115 000,Core i5,"15""",2530 MHz,160
355,f7106713,Ноутбук DELL LATITUDE E6330,109 000,Core i5,"13.3""",2900 MHz,500
356,f7106719,Ультрабук Toshiba PORTEGE Z830,99 000,Core i5,"13.3""",1600 MHz,128
357,f7126495,Ноутбук Lenovo THINKPAD T420,86 000,Core i3,"14""",2100 MHz,160
358,f7126589,Ноутбук DELL LATITUDE E6220,89 000,Core i5,"12""",2500 MHz,320
359,f7126575,Ноутбук HP EliteBook 8440p,99 000,Core i5,"14""",2400 MHz,320
360,f7126482,Ноутбук Lenovo THINKPAD T420i,99 000,Core i3,"14""",2100 MHz,160
361,f7126560,Ультрабук Lenovo THINKPAD T460 Ultrabook,219 000,Core i5,"14""",2400 MHz,160
362,f7126442,Ноутбук DELL LATITUDE E7440,125 000,Core i5,"14""",2000 MHz,128
363,f7126414,Ноутбук Lenovo THINKPAD X230,96 000,Core i5,"12""",2600 MHz,320
