Name;Price;Mark;Model;prod_type;Size;OS;RAM;Volume;main_camera;front_camera;videoshoot_format;videoshoot_resolution
Смартфон Realme C3 (3+64Gb), Red;54 890;RealMe;C3;смартфон;"6.5""";Android 10;3 Гб;64 Гб;12,0 Мп + 2,0 Мп + 2,0 Мп;5 Мп;Full HD;1920x1080
Смартфон Realme C3 (3+64Gb), Blue;54 890;RealMe;C3;смартфон;"6.5""";Android 10;3 Гб;64 Гб;12,0 Мп + 2,0 Мп + 2,0 Мп;5 Мп;Full HD;1920x1080
Смартфон Realme 6i (3+64Gb), Green;69 890;Samsung;6i;смартфон;"6.5""";Android 10;3 Гб;64 Гб;48+8+2+2;16,0 Мп;UHD 4K;3840x2160
Смартфон Realme 6i (3+64Gb), White;69 890;RealMe;6i;смартфон;"6.5""";Android 10;3 Гб;64 Гб;48+8+2+2;16,0 Мп;UHD 4K;3840x2160
Смартфон Realme 6i 4/128Gb, Green;79 890;RealMe;6i;смартфон;"6.5""";Android 10;4 Гб;128 Гб;48+8+2+2;16;Full HD;1920x1080
Смартфон Realme 6i 4/128Gb, White;79 890;RealMe;6i;смартфон;"6.5""";Android 10;4 Гб;128 Гб;48+8+2+2;16;Full HD;1920x1080
Смартфон Realme 6 4/128Gb, White;99 890;RealMe;6;смартфон;"6.5""";Android 10;4 Гб;128 Гб;64+8+2+2;16;4K UHD;3840x2160
Смартфон Realme 6 4/128Gb, Blue;99 890;RealMe;6;смартфон;"6.5""";Android 10;4 Гб;128 Гб;64+8+2+2;16;4K UHD;3840x2160
Смартфон Realme 6 8/128Gb, White;109 890;RealMe;6;смартфон;"6.5""";Android 10;8 Гб;128 Гб;64+8+2+2;16;4K UHD;3840x2160
Смартфон Realme 6 8/128Gb, Blue;109 890;RealMe;6;смартфон;"6.5""";Android 10;8 Гб;128 Гб;64+8+2+2;16;4K UHD;3840x2160
Смартфон Xiaomi Redmi Note 9S 64GB, Aurora Blue;99 990;Xiaomi;Redmi Note 9S;смартфон;"6.67""";Android ;4 Гб;64 Гб;48+8+5+2;16;4K ;3840x2160
Смартфон Xiaomi Redmi Note 9S 64GB, Interstellar Grey;99 990;Xiaomi;Redmi Note 9S;смартфон;"6.67""";Android ;4 Гб;64 Гб;48+8+5+2;16;4K ;3840x2160
Смартфон OPPO Find X2, Black;449 990;Oppo;Find X2;смартфон;"6.7""";Android 10;12 Гб;256 Гб;48+13+12;32;;
Смартфон OPPO Reno 3 Pro, Starry Blue;249 990;Oppo;Reno 3 Pro;смартфон;"6.5""";Android 10;12 Гб;256 Гб;48+13+8+2;32;4K ;3840x2160 Пикс (4K)
