,ID,Price,Name,Mark,Model,Size,Type,WiFi
163,f7022095,276 700,"Xiaomi Mi TV 4S 65 65""",Xiaomi, Mi TV 4S 65,"65""",ЖК-LED,Yes
164,f6999165,56 100,"Skyworth 32E20 32""",Skyworth, 32E20,"32""",ЖК-LED,Yes
165,f6950337,87 287,"Harper 43F660T 43""",Harper, 43F660T,"43""",ЖК-LED,Yes
166,f6825904,38 720,"BQ 2401B 23.6""",BQ, 2401B,"23.6""",ЖК,Yes
167,f7147174,172 990,Телевизор JVC LED LT-50N795 SMART 4K Black TBT0000429,Телевизор, JVC LED LT-50N795 SMART 4K Black TBT0000429,,Not Found,Not Found
168,f7147125,207 990,Телевизор JVC LED LT-55N775 SMART 4K Black TBT0000430,Телевизор, JVC LED LT-55N775 SMART 4K Black TBT0000430,,Not Found,Not Found
169,f6867146,186 010,"Sony KDL-40WD653 40""",Sony, KDL-40WD653,"40""",ЖК-LED,Yes
170,f7141846,181 490,TCL 50P715,TCL, 50P715,,Not Found,Not Found
171,f7141780,588 390,Sony KD-65XH8096BR2 KD65XH8096BR,Sony, KD-65XH8096BR2 KD65XH8096BR,,Not Found,Not Found
172,f7141779,882 590,Sony KD-75XH8096BR KD75XH8096BR,Sony, KD-75XH8096BR KD75XH8096BR,,Not Found,Not Found
173,f7109756,106 590,"Skyworth 43E20S 43""",Skyworth, 43E20S,"43""",Smart TV,Yes
174,f6685665,213 804,"Samsung UE50RU7200U 50""",Samsung, UE50RU7200U,"50""",Smart TV,Yes
175,f7010183,214 290,"LG 50UN74006LA 50""",LG, 50UN74006LA,"50""",ЖК,Yes
176,f6904502,425 589,"Samsung The Serif QE55LS01TAUXRU 55""",Samsung, The Serif QE55LS01TAUXRU,"55""",QLED,Yes
177,f6985972,472 280,Samsung Телевизор SAMSUNG The SERIF QE55LS01TAUXRU Smart 4K QLED ISAR1304934,Samsung, Телевизор SAMSUNG The SERIF QE55LS01TAUXRU Smart 4K QLED ISAR1304934,,Not Found,Not Found
178,f6986014,220 325,Samsung UE50TU7100UXCE,Samsung, UE50TU7100UXCE,,Not Found,Not Found
179,f7020689,553 164,Samsung Телевизор SAMSUNG The SERO QE43LS05TAUXCE Smart 4K QLED ISAR1304920,Samsung, Телевизор SAMSUNG The SERO QE43LS05TAUXCE Smart 4K QLED ISAR1304920,,Not Found,Not Found
180,f6985978,312 530,Samsung Телевизор SAMSUNG QE50Q60TAUXCE Smart 4K UHD ISAR1304927,Samsung, Телевизор SAMSUNG QE50Q60TAUXCE Smart 4K UHD ISAR1304927,,Not Found,Not Found
181,f6743065,181 051,"Samsung UE43RU7200UXCE 43""",Samsung, UE43RU7200UXCE,"43""",Smart TV,Yes
182,f6743162,219 973,"Samsung UE50RU7200U 50""",Samsung, UE50RU7200U,"50""",Smart TV,Yes
183,f6744443,138 071,"Kivi 50U600GR 50""",Kivi, 50U600GR,"50""",Smart TV,Yes
184,f7087116,227 214,"Xiaomi Mi TV 4S 55 55""",Xiaomi, Mi TV 4S 55,"55""",Smart TV,Yes
185,f6840438,214 161,"Samsung UE50TU7100UXCE 50""",Samsung, UE50TU7100UXCE,"50""",Smart TV,Yes
186,f6898044,123 290,"Samsung UE32T4500AUXCE 32""",Samsung, UE32T4500AUXCE,"32""",ЖК,Yes
187,f7009553,214 590,"Samsung UE50TU7100UXCE 50""",Samsung, UE50TU7100UXCE,"50""",Smart TV,Yes
188,f7071979,224 090,"Samsung UE-50TU7500UXCE 50""",Samsung, UE-50TU7500UXCE,"50""",ЖК-LED,Yes
189,f6699614,133 936,"TCL LED49S6500 49""",TCL, LED49S6500,"49""",Not Found,No
190,f6840471,120 469,"Samsung UE32T4500AUXCE 32""",Samsung, UE32T4500AUXCE,"32""",ЖК,Yes
